what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1648134842994
processors,sysinfo,,,"8",1648134842994
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1648134842994
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1648134842994
java.specification.name,sysinfo,,,"Java Platform API Specification",1648134842994
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1648134842994
java.specification.version,sysinfo,,,"1.6",1648134842994
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1648134842994
java.version,sysinfo,,,"1.6.0_23",1648134842994
java.vm.info,sysinfo,,,"mixed mode",1648134842994
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1648134842994
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1648134842994
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1648134842994
java.vm.specification.version,sysinfo,,,"1.0",1648134842994
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1648134842994
java.vm.version,sysinfo,,,"19.0-b09",1648134842994
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1648134843018
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1648134843041
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648134848379
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648134849865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1648134850900
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648134853231
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1648134853528
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1648134856983
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1648134857072
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1648134857077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134859595
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648134859727
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1648134865068
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1648134865068
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1648134865069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134868593
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648134871524
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1648134871554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134875927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134880273
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648134881443
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1648134882039
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1648134882065
error,log,,,"ELF file not specified for download for consumer Nios II Hardware configuration",1648134885411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134885553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134887702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134897543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134899227
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1648134899350
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: File not found: C:\\Users\\akila\\Documents\\co503\\FPGA_CO503\\Lab3\\part1\\SoC.sopcinfo\r\nSEVERE: File not found: C:\\Users\\akila\\Documents\\co503\\FPGA_CO503\\Lab3\\part1\\SoC.sopcinfo\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1648134900388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134900427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134912279
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648134913562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134919039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134948650
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648134972550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648134974418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135004395
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648135008823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135016301
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1648135026048
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1648135026075
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648135026314
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1648135029579
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1648135029798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135050587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1648135050647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1648135061083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135072752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135154698
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648135154736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135162406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135164341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135169718
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1648135182015
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648135193116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135207418
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1648135207461
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1648135213301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135239808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135248581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135251596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135425995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648135430071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648141070915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648141131039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648141146480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648141169009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648141183711
